type,name,level,attributes,source
"""概念""","""命题变量""",4,"{""description"": null, ""relation"": null}","[[""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.1 命题公式的基本知识"", ""二、命题公式的解释与真值表""], [""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.1  联结词的枚举""]]"
"""概念""","""命题在更深层结构上的性质和关系""",6,"{""定义"": ""命题在更深层次上的结构和关系。"", ""作用"": ""对命题逻辑的深入理解和推演至关重要。"", ""特性"": ""需要通过谓词逻辑等工具来研究。""}","[""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.1  逻辑与谓词逻辑""]"
"""概念""","""命题推演系统""",3,"{""定义"": ""用于命题逻辑推理的规则和公理集合。"", ""特点"": ""用于证明命题的有效性。""}","[""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理""]"
"""概念""","""命题推证""",3,"{""定义"": ""使用命题推演系统从前提推导出结论的过程。"", ""条件"": ""前提与结论之间有必然联系。""}","[""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理""]"
"""概念""","""命题演算""",2,"{""description"": null, ""relation"": null}","[[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.1 命题公式的基本知识""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.1 命题公式的基本知识"", ""二、命题公式的解释与真值表""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.2 等值关系与等值演算""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.2 等值关系与等值演算"", ""二、基本等值关系""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.2 等值关系与等值演算"", ""三、命题公式的等值演算""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.3 公式的内否与对偶""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.1  联结词的枚举""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.3 联结词的应用""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.1 范式的基本概念"", ""二、析取范式与合取范式""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.2 主析取范式""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.2 主析取范式"", ""二、主析取范式的概念""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.2 主析取范式"", ""三、主析取范式构造举例""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.3 主合取范式""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.3 主合取范式"", ""一、大项的概念与性质""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.3 主合取范式"", ""三、主合取范式构造举例""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.4 主范式间的联系""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.1 永真蕴含关系与判定"", ""二、基本永真蕴含关系""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.1 永真蕴含关系与判定"", ""三、永真蕴含关系判定法""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.1 永真蕴含关系与判定"", ""三、永真蕴含关系判定法"", ""（1）真值表法""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.3 命题推证的基本策略""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.3 命题推证的基本策略"", ""一、真值表法""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.1 刑侦推断问题""], [""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""], [""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.2 组合逻辑电路设计""]]"
"""概念""","""命题的否定""",2,"{""定义"": ""对给定命题含义取反得到的新命题。"", ""特点"": ""真值与原命题完全相反。""}","[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""一、否定联结词""]"
"""概念""","""命题的概念与运算""",2,"{""定义"": ""研究命题的概念和不同逻辑运算的方法。""}","[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""]"
"""概念""","""命题的真值""",5,"{""定义"": ""命题在逻辑上所具有的真或假。"", ""用途"": ""用于判断命题的否定运算结果。""}","[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""一、否定联结词""]"
"""概念""","""命题逻辑""",3,"{""description"": null, ""relation"": null}","[[""第三章  命题演算与推理""], [""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.2 组合逻辑电路设计""], [""第三章  命题演算与推理""], [""第四章  谓词演算与推理""], [""第三章  命题演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.1  逻辑与谓词逻辑""], [""第三章  命题演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.3  量词与特性谓词"", ""二、量词的展开与否定""], [""第三章  命题演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]]"
"""算法""","""命题逻辑推理""",5,"{""定义"": ""基于命题逻辑的推理过程。"", ""应用"": ""在案件侦破中作为推理工具。""}","[""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.1 刑侦推断问题""]"
"""概念""","""命题逻辑理论体系""",7,"{""定义"": ""以原子命题为基本单元研究命题性质和逻辑推演的理论体系。"", ""作用"": ""为逻辑推演提供基础框架。"", ""特性"": ""由量词、个体词和谓词等概念衍生。""}","[""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.1  逻辑与谓词逻辑""]"
"""概念""","""哈密尔顿回路""",4,"{""定义"": ""遍历加权无向图中所有结点仅一次再回到起点的回路，使得总权数最小。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.5.3 最优路线问题""]"
"""算法""","""哈密顿图""",2,"{""定义"": ""具有哈密顿回路的图。"", ""用途"": ""解决路径规划问题。"", ""算法"": ""结点的近似遍历算法。""}","[""第十章  特殊图模型与算法""]"
"""算法""","""哈密顿图模型""",3,"{""定义"": ""一种图模型，用于解决遍历所有节点的问题。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.5.3 最优路线问题""]"
"""概念""","""哈希函数""",3,"{""定义"": ""将任意长度的输入值映射到固定长度的输出值的函数。"", ""应用"": ""用于数据存储、加密、查找等。""}","[""第七章 函数与特殊函数"", ""§ 7.4 有限集的置换函数"", ""7.5.1 哈希查找问题""]"
"""概念""","""哈希查找""",3,"{""定义"": ""利用哈希函数快速定位数据的方法。"", ""特点"": ""查找速度快，但可能存在冲突。""}","[""第七章 函数与特殊函数"", ""§ 7.4 有限集的置换函数"", ""7.5.1 哈希查找问题""]"
"""概念""","""哈斯图""",4,"{""定义"": ""一种几何模型，用于表示事物间的关系。""}","[""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""]"
"""实验名称""","""哥尼斯堡七桥遍历问题""",3,"{""定义"": ""欧拉提出的桥梁遍历问题。"", ""应用"": ""作为图模型理论创立的背景。"", ""特点"": ""是图论问题的一个经典实例。""}","[""第十章  特殊图模型与算法""]"
"""猜想""","""哥德巴赫猜想""",6,"{""性质"": ""数学猜想"", ""关联"": ""与四色猜想、黎曼猜想齐名""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""性质""","""唯一性""",4,"{""定义"": ""对范式表达形式进行限制，使其满足唯一性。""}","[""第三章  命题演算与推理"", ""§ 3.4 命题公式的范式"", ""3.4.2 主析取范式""]"
"""概念""","""商""",3,"{""定义"": ""在带余除法中，q为商。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.1 整数与整数除法""]"
"""概念""","""商与余数""",3,"{""定义"": ""整数除法中的概念，包括商和余数。"", ""特性"": ""商是除法运算的结果，余数是除法运算中剩余的部分。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.1 整数与整数除法""]"
"""概念""","""商代数""",4,"{""description"": null, ""relation"": null}","[[""第十一章  抽象代数结构通论"", ""§ 11.1 代数结构的基本概念"", ""11.1.1 数学结构与代数结构""], [""第十一章  抽象代数结构通论"", ""§ 11.3  同构、同态与同余"", ""11.3.3  同余的概念与性质""]]"
"""概念""","""商集""",3,"{""description"": null, ""relation"": null}","[[""第六章 特殊关系模型"", ""§ 6.1 等价关系与元素分类""], [""第六章 特殊关系模型"", ""§ 6.1 等价关系与元素分类"", ""6.1.2 集合的划分与商集""]]"
"""概念""","""商集合""",4,"{""定义"": ""由等价关系产生的集合划分，包含同构的代数结构。""}","[""第十一章  抽象代数结构通论"", ""§ 11.3  同构、同态与同余"", ""11.3.2  同构与同态与性质""]"
"""概念""","""四级打分法""",6,"{""定义"": ""一种科学记分方法，分为优秀、良好、合格、不合格四级。"", ""应用"": ""用于非相互对抗场合的排名次。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.4.2 得分评判问题""]"
"""猜想""","""四色猜想""",3,"{""内容"": ""连通简单平面图的色数不超过4。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""行为""","""回应""",5,"{""定义"": ""女士对男士求婚的回复。"", ""结果"": ""接受或拒绝求婚，或与当前配偶比较。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.5.3 稳定婚配问题""]"
"""算法""","""回溯法""",3,"{""定义"": ""选优搜索法，按选优条件向前搜索，走不通则退回重新选择。""}","[""第二章  整数与算法设计基础"", ""§ 2.4 算法设计策略与应用"", ""2.4.3  回溯与动态规划"", ""一、回溯策略""]"
"""算法""","""回溯策略""",3,"{""定义"": ""一种试错过程，通过回溯来探索未知世界并给出具体的试错方案。""}","[""第二章  整数与算法设计基础"", ""§ 2.4 算法设计策略与应用""]"
"""概念""","""回路""",3,"{""定义"": ""起点和终点相同的闭合路径。"", ""特性"": ""路径上的顶点不重复。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""一、点着色与边着色""]"
"""概念""","""因数""",3,"{""定义"": ""能整除给定整数的数。"", ""应用"": ""用于整数分解和最大公因数计算。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""国家""",4,"{""定义"": ""地图中每个有限面，代表一个国家。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""概念""","""图""",1,"{""description"": null, ""relation"": null}","[[""第五章 关系模型与理论"", ""§ 5.1 关系的数学模型"", ""5.1.3 关系的表示"", ""2、有向图表示法""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第五章 关系模型与理论"", ""§ 5.1 关系的数学模型"", ""5.1.3 关系的表示"", ""2、有向图表示法""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示"", ""8.1.2 图的定义与分类""], [""第五章 关系模型与理论"", ""§ 5.1 关系的数学模型"", ""5.1.3 关系的表示"", ""2、有向图表示法""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示"", ""8.1.3 图的表示方法"", ""二、关联矩阵表示法""]]"
"""概念""","""图G""",7,"{""定义"": ""由顶点集V和边集E组成的图模型。"", ""特点"": ""可以是无向图或有向图，欧拉图和半欧拉图都是图G的特殊情况。""}","[""第十章  特殊图模型与算法"", ""§ 10.1 欧拉图与哈密顿图"", ""10.1.1  欧拉图及其性质""]"
"""概念""","""图G1""",7,"{""定义"": ""从图G中删除边集合{e1, e2, ..., ei}后得到的图。"", ""特点"": ""用于弗洛莱算法中，确保在去掉边后图仍保持连通性。""}","[""第十章  特殊图模型与算法"", ""§ 10.1 欧拉图与哈密顿图"", ""10.1.1  欧拉图及其性质""]"
"""概念""","""图同构""",3,"{""定义"": ""两个图模型在结构上等价的关系。"", ""用途"": ""用于考察和处理两个图模型之间的结构等价性。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构""]"
"""概念""","""图同构映射""",4,{},"[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构""]"
"""概念""","""图模型""",2,"{""description"": null, ""relation"": null}","[[""第十章  特殊图模型与算法""], [""第十章  特殊图模型与算法"", ""§ 10.1 欧拉图与哈密顿图"", ""10.1.1  欧拉图及其性质""], [""第十章  特殊图模型与算法""], [""第十一章  抽象代数结构通论"", ""§ 11.3  同构、同态与同余"", ""11.3.2  同构与同态与性质""], [""第十章  特殊图模型与算法""], [""第二章  整数与算法设计基础""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示"", ""8.1.2 图的定义与分类""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""], [""第十章  特殊图模型与算法""], [""第八章  图的基本理论与算法"", ""§  8.5  图模型的应用""]]"
"""概念""","""图模型基本集合运算""",3,"{""定义"": ""图模型的基本集合运算"", ""应用"": ""包括并、交、差、补、环和等集合运算""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图模型基本集合运算的例子""",5,"{""定义"": ""图模型具有并、交、差、补、环和等集合运算。"", ""例子"": ""包括并图、交图、差图、环和图等。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图模型基本集合运算的定义""",3,"{""定义"": ""图模型基本集合运算的具体操作和性质"", ""应用"": ""用于定义并、交、差、补、环和等集合运算""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图模型基本集合运算的延伸""",3,"{""定义"": ""普通集合运算在图模型上的应用"", ""应用"": ""图模型集合运算的延伸""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图模型基本集合运算的注意事项""",3,"{""定义"": ""进行图模型基本集合运算时需要注意的事项"", ""应用"": ""确保运算的正确性和图模型的一致性""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""原理""","""图模型的一般理论及算法""",6,"{""定义"": ""指图模型的基本理论及通用的算法。"", ""应用"": ""为解决各种图相关的问题提供理论基础和算法支持。""}","[""第十章  特殊图模型与算法""]"
"""概念""","""图模型的并、交、差、环和等集合运算""",3,"{""定义"": ""图模型的并、交、差、环和等集合运算，是普通集合运算的延伸。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图模型的应用""",3,"{""定义"": ""应用图理论解决实际问题，如作业规划问题。""}","[""第八章  图的基本理论与算法"", ""§  8.5  图模型的应用"", ""8.5.2 作业规划问题""]"
"""概念""","""图模型的度结构""",3,"{""定义"": ""研究图中结点度数及其分布的数学分支。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.2 图模型的度结构""]"
"""概念""","""图的基本理论与算法""",1,"{""description"": null, ""relation"": null}","[[""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.2 图模型的度结构""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.4.3 单源最短路径""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.4.4 多源最短路径""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§  8.5  图模型的应用"", ""8.5.2 作业规划问题""]]"
"""概念""","""图的基本运算""",3,"{""description"": null, ""relation"": null}","[[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]]"
"""概念""","""图的概念与表示""",1,"{""description"": null, ""relation"": null}","[[""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示""], [""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示"", ""8.1.3 图的表示方法"", ""二、关联矩阵表示法""]]"
"""概念""","""图的着色与并行流程的设计问题""",4,"{""定义"": ""设计图的颜色分配方案，以支持并行流程的设计。"", ""应用"": ""用于解决图的着色与并行流程的设计问题等。""}","[""第十章  特殊图模型与算法""]"
"""概念""","""图的表示方法""",3,"{""定义"": ""表示图的方法，如关联矩阵。"", ""用途"": ""用于表示图的结构。""}","[""第八章  图的基本理论与算法"", ""§ 8.1 图的概念与表示"", ""8.1.3 图的表示方法"", ""二、关联矩阵表示法""]"
"""概念""","""图的运算与结构""",2,"{""description"": null, ""relation"": null}","[[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.2 图模型的度结构""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.4.3 单源最短路径""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.2 图模型的度结构""], [""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.4.4 多源最短路径""]]"
"""概念""","""图的集合运算""",3,"{""定义"": ""图模型具有并、交、差、补、环和等集合运算。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""图论""",3,"{""description"": null, ""relation"": null}","[[""第一章  集合与计数基础""], [""第一章  集合与计数基础"", ""§ 1.3 有限集的基本计数技术"", ""1.3.3 排列计数与组合计数"", ""二、可重复的排列""], [""第一章  集合与计数基础""], [""第五章 关系模型与理论""]]"
"""概念""","""图运算""",3,"{""定义"": ""对图进行各种运算的总称""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算""]"
"""概念""","""地图""",3,"{""定义"": ""指连通无桥平面图及其所有有限面，每个面称为一个国家。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""概念""","""域""",2,"{""description"": null, ""relation"": null}","[[""第十一章  抽象代数结构通论"", ""§ 11.1 代数结构的基本概念"", ""11.1.1 数学结构与代数结构""], [""第十二章 典型抽象代数结构""]]"
"""概念""","""基数""",4,"{""定义"": ""度量集合规模大小的指标""}","[""第一章  集合与计数基础"", ""§1.2 可数集与不可数集""]"
"""概念""","""基本回路""",4,"{""定义"": ""在树中任意增加一条新边，就会得到唯一一条基本回路""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""性质""","""基本性质""",3,"{""定义"": ""关系模型划分的标准。""}","[""第六章 特殊关系模型""]"
"""概念""","""基本概念""",2,"{""定义"": ""算法的基本性质，包括有穷性、确定性、输入、输出、可行性。""}","[""第二章  整数与算法设计基础"", ""§ 2.3 算法设计的基本知识"", ""2.3.1 算法的基本概念""]"
"""定理""","""基本永真蕴含关系式""",3,"{""定义"": ""经过真值表证明，在永真蕴含关系演算中直接使用的15个基本关系式。"", ""用途"": ""作为已知工具，简化演算过程。""}","[""第三章  命题演算与推理"", ""§ 3.5 命题逻辑的演绎推理"", ""3.5.1 永真蕴含关系与判定"", ""二、基本永真蕴含关系""]"
"""原理""","""基本等值公式""",4,"{""定义"": ""谓词逻辑中用于表示等价关系的公式。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""性质""","""基本等值关系""",3,"{""description"": null, ""relation"": null}","[[""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.2 等值关系与等值演算"", ""二、基本等值关系""], [""第三章  命题演算与推理"", ""§ 3.2 命题公式与等值演算"", ""3.2.2 等值关系与等值演算"", ""三、命题公式的等值演算""]]"
"""原理""","""基本蕴涵公式""",4,"{""定义"": ""谓词逻辑中用于表示蕴含关系的公式。""}","[""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]"
"""概念""","""基本计数技术""",3,"{""定义"": ""用于解决有限集计数问题的基本方法。"", ""内容"": ""包括加法原理、乘法原理、容斥原理、鸽笼原理、排列计数和组合计数。""}","[""第一章  集合与计数基础"", ""§ 1.3 有限集的基本计数技术""]"
"""原理""","""基本运算和操作""",5,"{""定义"": ""算法实现的基本运算和操作。"", ""类型"": ""算术、关系、逻辑、数据操作。""}","[""第二章  整数与算法设计基础"", ""§ 2.3 算法设计的基本知识"", ""2.3.1 算法的基本概念""]"
"""概念""","""基本通路""",4,"{""定义"": ""树中每一对结点之间都有唯一的一条基本通路""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""概念""","""基础条款""",4,"{""定义"": ""空集属于自然数集合，并将空集定义为自然数0。""}","[""第一章  集合与计数基础"", ""§1.2 可数集与不可数集"", ""1.2.2 自然数的集合定义"", ""二、自然数的归纳定义""]"
"""概念""","""基础部分""",6,"{""定义"": ""确定集合中某些最基本的元素。"", ""作用"": ""确保集合非空并确定初始元素。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""3.归纳法""]"
"""算法""","""填补""",6,"{""定义"": ""用其他元素填充空缺，以保持结构或数据的完整性。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""3 . B树的删除""]"
"""性质""","""增加黑色祖先""",7,"{""定义"": ""在红黑树调整过程中，通过旋转操作使得结点N增加一个黑色祖先。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.2 红黑树模型""]"
"""概念""","""增广路径""",4,"{""description"": null, ""relation"": null}","[[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.4.1 流网络与切割""], [""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题"", ""10.4.3 最大流求解算法""]]"
"""概念""","""增益流""",5,"{""定义"": ""网络流中，指增加流量的流。""}","[""第十章  特殊图模型与算法"", ""§ 10.4 网络流图及其优化问题""]"
